num_threads,num_elements,time
1,10000,0.001319
1,100000,0.015382
1,1000000,0.180872
1,10000000,2.09676
1,100000000,23.722996
1,1000000000,267.642038
2,10000,0.003291
2,100000,0.0094
2,1000000,0.096491
2,10000000,1.110653
2,100000000,12.726866
2,1000000000,141.714318
4,10000,0.004158
4,100000,0.008948
4,1000000,0.062478
4,10000000,0.656027
4,100000000,7.176032
4,1000000000,81.322428
8,10000,0.011972
8,100000,0.017958
8,1000000,0.055999
8,10000000,0.442702
8,100000000,4.705534
8,1000000000,51.186397
16,10000,0.033076
16,100000,0.029816
16,1000000,0.060322
16,10000000,0.380935
16,100000000,3.548056
16,1000000000,39.529994
