num_threads,num_elements,time
1,10000,0.001933
1,100000,0.019777
1,1000000,0.226582
1,10000000,2.552702
1,100000000,28.771116
1,1000000000,328.445742
2,10000,0.003228
2,100000,0.012946
2,1000000,0.120581
2,10000000,1.32823
2,100000000,14.764082
2,1000000000,177.697221
4,10000,0.006417
4,100000,0.012198
4,1000000,0.076475
4,10000000,0.744599
4,100000000,8.118301
4,1000000000,100.220353
8,10000,0.018971
8,100000,0.031605
8,1000000,0.094632
8,10000000,0.650378
8,100000000,5.907049
8,1000000000,67.099214
16,10000,0.044384
16,100000,0.081166
16,1000000,0.146923
16,10000000,0.799617
16,100000000,6.100481
16,1000000000,59.716823
